Constraint ID,Pattern,File/Lines,Type
HCO-6,binary-comparison,org/apache/http/message/BasicListHeaderIterator.java:132,manual
HCO-7,constant-argument,org/apache/http/impl/pool/BasicConnPool.java:58,manual
HCO-7,constant-argument,org/apache/http/impl/conn/PoolingHttpClientConnectionManager.java:180,tool-assisted
HCO-7,constant-argument,org/apache/http/impl/pool/BasicConnPool.java:66,tool-assisted
HCO-7,constant-argument,org/apache/http/impl/pool/BasicConnPool.java:73,tool-assisted
HCO-7,constant-argument,org/apache/http/impl/pool/BasicConnPool.java:80,tool-assisted
HCO-8,null-check,org/apache/http/nio/protocol/HttpAsyncService.java:355,manual
HCO-9,null-check,org/apache/http/protocol/HttpService.java:436,manual
JED-1,boolean-property,org/gjt/sp/jedit/jEdit.java:304,manual
JED-10,boolean-property,org/gjt/sp/jedit/Buffer.java:1788,manual
JED-10,boolean-property,org/gjt/sp/jedit/Buffer.java:202,tool-assisted
JED-10,boolean-property,org/gjt/sp/jedit/Buffer.java:2033,tool-assisted
JED-10,boolean-property,org/gjt/sp/jedit/jEdit.java:2236,tool-assisted
JED-10,boolean-property,org/gjt/sp/jedit/jEdit.java:2291,tool-assisted
JED-11,null-check,org/gjt/sp/jedit/bufferio/BufferSaveRequest.java:225,manual
JED-12,binary-comparison,org/gjt/sp/jedit/bufferio/BufferSaveRequest.java:228,manual
JED-12,binary-comparison,org/gjt/sp/jedit/MiscUtilities.java:599,tool-assisted
JED-12,binary-comparison,org/gjt/sp/jedit/MiscUtilities.java:875,tool-assisted
JED-12,binary-comparison,org/gjt/sp/jedit/MiscUtilities.java:1030,tool-assisted
JED-13,binary-comparison,org/gjt/sp/jedit/MiscUtilities.java:875,manual
JED-13,binary-comparison,org/gjt/sp/jedit/MiscUtilities.java:599,tool-assisted
JED-13,binary-comparison,org/gjt/sp/jedit/MiscUtilities.java:1030,tool-assisted
JED-13,binary-comparison,org/gjt/sp/jedit/bufferio/BufferSaveRequest.java:228,tool-assisted
JED-14,null-zero-check,org/gjt/sp/jedit/MiscUtilities.java:732,manual
JED-15,binary-comparison,org/gjt/sp/jedit/EditServer.java:314,manual
JED-16,null-zero-check,org/gjt/sp/jedit/browser/VFSBrowser.java:1960,manual
JED-16,binary-comparison,org/gjt/sp/jedit/browser/VFSBrowser.java:869,tool-assisted
JED-17,boolean-property,org/gjt/sp/jedit/jEdit.java:2036,manual
JED-17,boolean-property,org/gjt/sp/jedit/Buffer.java:157,tool-assisted
JED-17,boolean-property,org/gjt/sp/jedit/Buffer.java:367,tool-assisted
JED-17,boolean-property,org/gjt/sp/jedit/Buffer.java:963,tool-assisted
